transaction_id,product_id,customer_id,transaction_date,online_order,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,last_purchases,profit
17394,20,933,2017-12-30,0,Trek Bicycles,Standard,medium,small,1775.81,1580.47,1996-04-07,0,195.33999999999992
606,70,2878,2017-12-30,0,Trek Bicycles,Standard,high,medium,495.72,297.43,1999-07-28,0,198.29000000000002
5042,90,1985,2017-12-30,0,Norco Bicycles,Standard,low,medium,363.01,290.41,1999-07-28,0,72.59999999999997
10905,0,2659,2017-12-30,0,Solex,Standard,medium,medium,100.35,75.26,2004-01-18,0,25.08999999999999
411,62,3355,2017-12-30,0,Solex,Standard,medium,medium,478.16,298.72,1993-06-25,0,179.44
18609,27,2372,2017-12-30,0,Trek Bicycles,Standard,medium,medium,499.53,388.72,1999-06-25,0,110.80999999999995
2843,90,1506,2017-12-30,1,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-12,0,72.59999999999997
9158,88,86,2017-12-30,1,Norco Bicycles,Standard,high,small,1661.92,1479.11,1993-07-17,0,182.81000000000017
748,80,2865,2017-12-30,1,Trek Bicycles,Standard,medium,large,1469.44,596.55,2012-05-20,0,872.8900000000001
12667,89,1594,2017-12-30,1,WeareA2B,Touring,medium,large,1362.99,57.74,2016-07-11,0,1305.25
253,2,3123,2017-12-30,0,Giant Bicycles,Road,low,small,590.26,525.33,2010-11-07,0,64.92999999999995
12453,12,151,2017-12-30,0,WeareA2B,Standard,medium,medium,1231.15,161.6,2010-11-07,0,1069.5500000000002
7311,1,1328,2017-12-30,0,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2012-09-17,0,448.67999999999995
4942,72,3293,2017-12-30,1,OHM Cycles,Standard,medium,medium,912.52,141.4,2015-10-20,0,771.12
19907,41,1721,2017-12-30,0,Norco Bicycles,Standard,low,medium,958.74,748.9,2005-12-09,0,209.84000000000003
8111,79,1970,2017-12-30,1,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2003-09-11,0,737.5699999999999
13670,73,2165,2017-12-30,0,Solex,Standard,medium,medium,1945.43,333.18,2002-09-02,0,1612.25
9820,31,1425,2017-12-30,1,WeareA2B,Standard,medium,medium,752.64,205.36,2002-03-24,0,547.28
3938,95,993,2017-12-30,0,OHM Cycles,Touring,low,medium,1073.07,933.84,1997-01-27,0,139.2299999999999
16759,27,256,2017-12-30,0,Trek Bicycles,Standard,low,medium,1057.51,154.4,2010-06-09,0,903.11
12826,11,3016,2017-12-30,1,Trek Bicycles,Standard,medium,small,1775.81,1580.47,2014-03-05,0,195.33999999999992
11701,93,1453,2017-12-30,1,OHM Cycles,Standard,high,medium,1458.17,874.9,2006-02-04,0,583.2700000000001
1697,56,2421,2017-12-30,1,OHM Cycles,Standard,medium,medium,183.86,137.9,1991-01-23,0,45.96000000000001
16166,89,2345,2017-12-30,0,WeareA2B,Touring,medium,large,1362.99,57.74,2002-10-12,0,1305.25
5651,25,2713,2017-12-30,1,Giant Bicycles,Road,medium,medium,1538.99,829.65,1993-05-28,0,709.34
3254,75,1000,2017-12-30,0,Giant Bicycles,Touring,medium,large,1873.97,863.95,2006-05-24,0,1010.02
1033,49,934,2017-12-30,0,Trek Bicycles,Road,medium,medium,533.51,400.13,1997-10-06,0,133.38
19959,4,1787,2017-12-30,0,Solex,Standard,medium,medium,1483.2,99.59,2005-10-24,0,1383.6100000000001
16258,14,2055,2017-12-30,1,Solex,Standard,high,large,1842.92,1105.75,1995-10-26,0,737.1700000000001
497,62,1854,2017-12-30,1,Solex,Standard,high,medium,1024.66,614.8,1993-10-04,0,409.8600000000001
